group,symbol,parameter,value,unit,source_key,evidence_class,calibration_status,active_in_reported_branch,role
crystal,c/a,HCP lattice ratio,1.587,--,S1,L2_grouped_literature_constraint,"literature-constrained, not batch identified",True,slip geometry
crystal,T_ref,elastic reference temperature,293.15,K,S5,L2_repository_baseline,verification seed,True,reference state
elasticity,C_11,HCP stiffness C11,1.624e+11,Pa,S1/S5,L2_grouped_literature_constraint,"research baseline, not batch identified",True,anisotropic elastic tangent
elasticity,C_12,HCP stiffness C12,9.2e+10,Pa,S1/S5,L2_grouped_literature_constraint,"research baseline, not batch identified",True,anisotropic elastic tangent
elasticity,C_13,HCP stiffness C13,6.9e+10,Pa,S1/S5,L2_grouped_literature_constraint,"research baseline, not batch identified",True,anisotropic elastic tangent
elasticity,C_33,HCP stiffness C33,1.807e+11,Pa,S1/S5,L2_grouped_literature_constraint,"research baseline, not batch identified",True,anisotropic elastic tangent
elasticity,C_44,HCP stiffness C44,4.67e+10,Pa,S1/S5,L2_grouped_literature_constraint,"research baseline, not batch identified",True,anisotropic elastic tangent
elasticity,C_66,derived HCP stiffness,3.52e+10,Pa,S7,derived,exactly derived from C11 and C12,True,anisotropic elastic tangent
thermal,rho_0,mass density,4510,kg m^-3,S1/S5,L2_grouped_literature_constraint,research baseline,True,inertia and heat storage
thermal,c_p(298.15 K),specific heat used at reference state,527.2485158,J kg^-1 K^-1,S2,L1_direct_reference_function,"literature function, not fitted",True,heat storage
thermal,A,Shomate coefficient A,5.406172,cal mol^-1 K^-1,S2,L1_direct_reference_function,admitted only on 298--700 K,True,temperature-dependent heat capacity
thermal,B,Shomate coefficient B,4.538229,cal mol^-1 K^-1,S2,L1_direct_reference_function,admitted only on 298--700 K,True,temperature-dependent heat capacity
thermal,C,Shomate coefficient C,-4.346881,cal mol^-1 K^-1,S2,L1_direct_reference_function,admitted only on 298--700 K,True,temperature-dependent heat capacity
thermal,D,Shomate coefficient D,1.69235,cal mol^-1 K^-1,S2,L1_direct_reference_function,admitted only on 298--700 K,True,temperature-dependent heat capacity
thermal,E,Shomate coefficient E,-0.034287,cal mol^-1 K^-1,S2,L1_direct_reference_function,admitted only on 298--700 K,True,temperature-dependent heat capacity
thermal,M_Ti,titanium molar mass,0.047867,kg mol^-1,S2,L1_reference_constant,reference constant,True,molar-to-mass heat-capacity conversion
thermal,kappa,thermal conductivity at 300 K,21.9,W m^-1 K^-1,S3,L1_selected_reference_value,"literature value, not batch identified",True,thermal diffusion
thermal,beta,Taylor--Quinney heat fraction,0.9,--,S5,L2_repository_baseline,not independently identified,True,plastic-work heat partition
