case_id,cells,completed,context,control_role,cutoff_mode,discarded_rhs_energy_fraction,failure_message,failure_type,first_failure_mode,first_failure_stage,first_failure_state_group,first_failure_time_s,first_failure_wavenumber_m_inv,gain_relative_error,measured_nonlinear_gain,output_vector_relative_error,role,runtime_s,scheme,spectral_rule,substeps
raw_nyquist_n16_factor64_s1_midpoint_onset,16,False,factor64,negative_control_for_discrete_continuum_mismatch,8,,integrating factor Fourier conjugacy defect exceeded 1e-7,Periodic69IntegrationFailure,8,midpoint_stage,signed_slip,1.3203125e-06,436403.4046678528,,,,near_onset,20.169652200012933,exponential_midpoint,raw_all_including_nyquist,1
no_nyquist_n16_factor64_s1_midpoint_near_onset,16,True,factor64,matched_discrete_state_space_control,7,4.9715755900450615e-24,,,,,,,,0.007304342457924268,1.7242784553180979,0.008037888446715944,near_onset,19.866984400025103,exponential_midpoint,all_resolvable_excluding_nyquist,1
no_nyquist_n16_factor64_s1_midpoint_terminal,16,True,factor64,matched_discrete_state_space_control,7,8.536772760797437e-11,,,,,,,,0.0022251913202484246,610588.3200079,0.00222519766463308,terminal,117.53646179998759,exponential_midpoint,all_resolvable_excluding_nyquist,1
dealias_n16_factor64_s1_midpoint_near_onset,16,True,factor64,grid_convergence,5,2.283124327786331e-09,,,,,,,,0.007304342456332981,1.7242784553208619,0.008037889487182802,near_onset,19.951020599983167,exponential_midpoint,two_thirds_dealiased,1
dealias_n16_factor64_s1_midpoint_terminal,16,True,factor64,grid_convergence,5,0.6806828290120214,,,,,,,,0.0022246755585365935,610588.6356282929,0.002224681952291077,terminal,117.13398240000242,exponential_midpoint,two_thirds_dealiased,1
dealias_n32_factor64_s1_midpoint_near_onset,32,True,factor64,grid_convergence,10,7.506978923464838e-09,,,,,,,,0.00730434246947107,1.7242784552980415,0.008037836757096522,near_onset,47.09932719997596,exponential_midpoint,two_thirds_dealiased,1
dealias_n32_factor64_s1_midpoint_terminal,32,True,factor64,grid_convergence,10,0.8458253785421166,,,,,,,,0.0022246849417323165,610588.629886246,0.0022246904837430435,terminal,209.86670279997634,exponential_midpoint,two_thirds_dealiased,1
dealias_n64_factor64_s1_midpoint_near_onset,64,True,factor64,grid_convergence,21,5.312187870127216e-08,,,,,,,,0.007304342463569962,1.7242784553082915,0.008037860097726866,near_onset,69.0206240999978,exponential_midpoint,two_thirds_dealiased,1
dealias_n64_factor64_s1_midpoint_terminal,64,True,factor64,grid_convergence,21,0.3632901110337043,,,,,,,,0.002224712659997074,610588.6129240532,0.0022247183318769787,terminal,375.8386961000506,exponential_midpoint,two_thirds_dealiased,1
dealias_n16_factor32_s1_midpoint_near_onset,16,True,factor32,time_density_convergence,5,6.493496428917725e-09,,,,,,,,0.028732406908431523,1.7114674728233505,0.04999953034235434,near_onset,9.432718699972611,exponential_midpoint,two_thirds_dealiased,1
dealias_n16_factor32_s1_midpoint_terminal,16,True,factor32,time_density_convergence,5,0.7707895901174655,,,,,,,,0.007845988257574986,608410.8849409423,0.007845992532106251,terminal,53.24204619997181,exponential_midpoint,two_thirds_dealiased,1
dealias_n16_factor32_s2_midpoint_near_onset,16,True,factor32,time_density_convergence,5,2.720451639270748e-09,,,,,,,,0.021566447215556516,1.7240945871357731,0.027119566553953398,near_onset,17.143885800032876,exponential_midpoint,two_thirds_dealiased,2
dealias_n16_factor32_s2_midpoint_terminal,16,True,factor32,time_density_convergence,5,0.8456120741377506,,,,,,,,0.0064832732394717735,609246.5320685797,0.006483303147246298,terminal,99.66994260001229,exponential_midpoint,two_thirds_dealiased,2
dealias_n16_factor32_s4_midpoint_near_onset,16,True,factor32,time_density_convergence,5,4.526562472734371e-09,,,,,,,,0.019765884472094333,1.7272673529009772,0.027253950311679237,near_onset,33.72444969997741,exponential_midpoint,two_thirds_dealiased,4
dealias_n16_factor32_s4_midpoint_terminal,16,True,factor32,time_density_convergence,5,0.8582683200665185,,,,,,,,0.006140350782516307,609456.8197386723,0.006140378208814984,terminal,192.99496629997157,exponential_midpoint,two_thirds_dealiased,4
dealias_n16_factor64_s1_lawson_near_onset,16,True,factor64,independent_integration_format,5,9.881076469196687e-08,,,,,,,,1.2728314872647627e-10,1.7369658484937436,8.322020729927013e-07,near_onset,10.370819000003394,lawson_euler,two_thirds_dealiased,1
dealias_n16_factor64_s1_lawson_terminal,16,True,factor64,independent_integration_format,5,0.8613550281859056,,,,,,,,0.00031987878907600544,611754.276060687,0.00031988854970202045,terminal,59.50869339995552,lawson_euler,two_thirds_dealiased,1
