role,audit,case,gain,relative_change_or_ratio
near_onset,start_time,t0=5e-07,1.7369658487148303,1.0
near_onset,start_time,t0=7.5e-07,1.7369208939992256,0.9999741188258606
near_onset,start_time,t0=1e-06,1.7367686059082479,0.9998864440502798
near_onset,branch_convention,linear_interpolation_midpoint,1.7369658487148303,0.0
near_onset,branch_convention,left_continuous,1.736965846644266,1.1920582299040916e-09
near_onset,branch_convention,right_continuous,1.7369658507730512,1.184951914368071e-09
near_onset,branch_convention,secant_split,1.7369658506762249,1.1292073942570369e-09
terminal,start_time,t0=5e-07,611950.025893945,1.0
terminal,start_time,t0=7.5e-07,611949.728421623,0.9999995138944204
terminal,start_time,t0=1e-06,611949.7069708797,0.9999994788413239
terminal,start_time,t0=2e-06,195402.75642552032,0.3193116237556707
terminal,branch_convention,linear_interpolation_midpoint,611950.025893945,0.0
terminal,branch_convention,left_continuous,611820.514653021,0.00021163695635895152
terminal,branch_convention,right_continuous,612070.618554294,0.0001970629222096676
terminal,branch_convention,secant_split,611569.1344591869,0.0006224224505941844
