branch_id,horizon_id,time_s,norm_id,selector_id,input_dimension,output_dimension,log_gain
onset_x,near_onset,1.4375e-06,baseline,full_to_full,69,69,7.004210607647863
onset_x,near_onset,1.4375e-06,baseline,constitutive_to_constitutive,63,63,0.6208999188473417
onset_x,near_onset,1.4375e-06,baseline,full_to_constitutive,69,63,0.6357782386623778
onset_x,near_onset,1.4375e-06,baseline,constitutive_to_full,63,69,1.7181169200576143
onset_x,near_onset,1.4375e-06,baseline,mechanical_to_mechanical,6,6,7.004204451553561
onset_x,near_onset,1.4375e-06,baseline,mechanical_to_constitutive,6,63,-1.0067326981161175
onset_x,near_onset,1.4375e-06,baseline,constitutive_to_temperature,63,1,-0.00438865218023767
onset_x,near_onset,1.4375e-06,mechanical_x0.5,full_to_full,69,69,7.004229074904091
onset_x,near_onset,1.4375e-06,mechanical_x0.5,constitutive_to_constitutive,63,63,0.6208999188473417
onset_x,near_onset,1.4375e-06,mechanical_x0.5,full_to_constitutive,69,63,0.624635703876088
onset_x,near_onset,1.4375e-06,mechanical_x0.5,constitutive_to_full,63,69,2.3990464093964188
onset_x,near_onset,1.4375e-06,mechanical_x0.5,mechanical_to_mechanical,6,6,7.004204451553561
onset_x,near_onset,1.4375e-06,mechanical_x0.5,mechanical_to_constitutive,6,63,-1.699879878676063
onset_x,near_onset,1.4375e-06,mechanical_x0.5,constitutive_to_temperature,63,1,-0.00438865218023767
onset_x,near_onset,1.4375e-06,mechanical_x2,full_to_full,69,69,7.004205991156017
onset_x,near_onset,1.4375e-06,mechanical_x2,constitutive_to_constitutive,63,63,0.6208999188473417
onset_x,near_onset,1.4375e-06,mechanical_x2,full_to_constitutive,69,63,0.6792698314540565
onset_x,near_onset,1.4375e-06,mechanical_x2,constitutive_to_full,63,69,1.0710573848662515
onset_x,near_onset,1.4375e-06,mechanical_x2,mechanical_to_mechanical,6,6,7.004204451553561
onset_x,near_onset,1.4375e-06,mechanical_x2,mechanical_to_constitutive,6,63,-0.31358551755617226
onset_x,near_onset,1.4375e-06,mechanical_x2,constitutive_to_temperature,63,1,-0.00438865218023767
onset_x,near_onset,1.4375e-06,thermal_x0.5,full_to_full,69,69,7.0042106076482185
onset_x,near_onset,1.4375e-06,thermal_x0.5,constitutive_to_constitutive,63,63,0.6214763149496579
onset_x,near_onset,1.4375e-06,thermal_x0.5,full_to_constitutive,69,63,0.6363762102859725
onset_x,near_onset,1.4375e-06,thermal_x0.5,constitutive_to_full,63,69,1.7181169200576136
onset_x,near_onset,1.4375e-06,thermal_x0.5,mechanical_to_mechanical,6,6,7.004204451553561
onset_x,near_onset,1.4375e-06,thermal_x0.5,mechanical_to_constitutive,6,63,-1.0055446930737963
onset_x,near_onset,1.4375e-06,thermal_x0.5,constitutive_to_temperature,63,1,-0.002537565804763379
onset_x,near_onset,1.4375e-06,thermal_x2,full_to_full,69,69,7.004210607647775
onset_x,near_onset,1.4375e-06,thermal_x2,constitutive_to_constitutive,63,63,0.6207564349325004
onset_x,near_onset,1.4375e-06,thermal_x2,full_to_constitutive,69,63,0.6356293381504583
onset_x,near_onset,1.4375e-06,thermal_x2,constitutive_to_full,63,69,1.7181169200576139
onset_x,near_onset,1.4375e-06,thermal_x2,mechanical_to_mechanical,6,6,7.004204451553561
onset_x,near_onset,1.4375e-06,thermal_x2,mechanical_to_constitutive,6,63,-1.0070301409498945
onset_x,near_onset,1.4375e-06,thermal_x2,constitutive_to_temperature,63,1,-0.004852496547490101
onset_x,near_onset,1.4375e-06,dislocation_x0.5,full_to_full,69,69,7.004210607348702
onset_x,near_onset,1.4375e-06,dislocation_x0.5,constitutive_to_constitutive,63,63,0.32510133796460516
onset_x,near_onset,1.4375e-06,dislocation_x0.5,full_to_constitutive,69,63,0.3481906667620288
onset_x,near_onset,1.4375e-06,dislocation_x0.5,constitutive_to_full,63,69,1.7181169200576143
onset_x,near_onset,1.4375e-06,dislocation_x0.5,mechanical_to_mechanical,6,6,7.004204451553561
onset_x,near_onset,1.4375e-06,dislocation_x0.5,mechanical_to_constitutive,6,63,-1.0067276609928357
onset_x,near_onset,1.4375e-06,dislocation_x0.5,constitutive_to_temperature,63,1,-0.004852491067240946
onset_x,near_onset,1.4375e-06,dislocation_x2,full_to_full,69,69,7.004210608844529
onset_x,near_onset,1.4375e-06,dislocation_x2,constitutive_to_constitutive,63,63,1.092412828719555
onset_x,near_onset,1.4375e-06,dislocation_x2,full_to_constitutive,69,63,1.0991289597529443
onset_x,near_onset,1.4375e-06,dislocation_x2,constitutive_to_full,63,69,1.7181169200576203
onset_x,near_onset,1.4375e-06,dislocation_x2,mechanical_to_mechanical,6,6,7.004204451553561
onset_x,near_onset,1.4375e-06,dislocation_x2,mechanical_to_constitutive,6,63,-1.006733957404867
onset_x,near_onset,1.4375e-06,dislocation_x2,constitutive_to_temperature,63,1,-0.0025375876245042573
onset_x,near_onset,1.4375e-06,plastic_kinematic_x0.5,full_to_full,69,69,7.0042059914535
onset_x,near_onset,1.4375e-06,plastic_kinematic_x0.5,constitutive_to_constitutive,63,63,1.0922038863882018
