parameter,side,factor,horizon_id,log_gain,search_log_gain,k_m_inv,n1,n2,n3,angle_from_baseline_deg,peak_cauchy_shear_MPa,terminal_temperature_K
rho_mobile_0,minus,0.8,onset,2.6788864466478466,3.3728482347719813,71865.97960705943,0.004996961592925777,0.9999875099734159,0.00010135090718695746,0.00011402593741798024,575.9539810541585,548.3268721812781
rho_mobile_0,minus,0.8,terminal,13.710525604330137,13.51405347341638,6958.887009428411,-0.004596981393450764,-0.9999894286893171,0.00010134930469726919,0.00013925150245934563,575.9539810541585,548.3268721812781
rho_mobile_0,plus,1.2,onset,2.3614770919274224,3.050641128161778,71824.84010592868,0.004992817371193886,0.9999875306736038,0.00010135090718695746,0.00012341976538421222,575.1380591531296,549.3184075631057
rho_mobile_0,plus,1.2,terminal,13.338119252840634,13.198845881391188,6729.742752411059,-0.004618397388410661,-0.9999893300098319,0.00010135112354455486,0.0013663099472823353,575.1380591531296,549.3184075631057
K_Lambda,minus,0.8,onset,2.5140637995512103,3.2080207337350957,71849.69997202144,0.004995089271820974,0.9999875193276966,0.00010135090718695747,6.722620413208828e-06,574.538197592503,550.9960859090213
K_Lambda,minus,0.8,terminal,13.092744456286269,12.874123728867266,6808.348853631394,-0.004548931618836636,-0.9999896484211365,0.00010134939116698901,0.002613826728431993,574.538197592503,550.9960859090213
K_Lambda,plus,1.2,onset,2.5104024144905304,3.2005715540026385,71848.05580700038,0.0049949714977768475,0.9999875199159888,0.00010135090718695746,0.0,576.0274795463978,547.8358984864923
K_Lambda,plus,1.2,terminal,13.707574129771357,13.567461842037211,6728.755100551044,-0.004649404238734961,-0.9999891863256215,0.00010135110439431799,0.003142891086213625,576.0274795463978,547.8358984864923
ell_N,minus,0.8,onset,2.5118664290074872,3.2035490443938195,71848.05580700038,0.0049949714977768475,0.9999875199159888,0.00010135090718695746,0.0,575.4339706307693,548.8313948242254
ell_N,minus,0.8,terminal,13.505312718390007,13.34181908223856,6836.568088984217,-0.004607926114394748,-0.999989378315931,0.0001013520690679873,0.0007663440099067919,575.4339706307693,548.8313948242254
ell_N,plus,1.2,onset,2.5118664223079925,3.203549030998007,71848.12132729351,0.004989785091031385,0.9999875458088161,0.00010135090718695746,0.0002971622922958119,575.4339706307693,548.8313948242254
ell_N,plus,1.2,terminal,13.505310051288564,13.34181682031076,6836.527051122045,-0.00460785765986068,-0.9999893786313805,0.00010135192221567999,0.0007624213002172177,575.4339706307693,548.8313948242254
ell_chi,minus,0.8,onset,2.5118741056859455,3.2035643402018796,71848.05580700038,0.0049949714977768475,0.9999875199159888,0.00010135090718695746,0.0,575.4339706307693,548.8313948242254
ell_chi,minus,0.8,terminal,13.50931900957819,13.344847484336217,6910.4059515173785,-0.004607888125941846,-0.9999893784910502,0.0001013513799641058,0.0007641670007623326,575.4339706307693,548.8313948242254
ell_chi,plus,1.2,onset,2.5117778036617673,3.2035448718690875,62864.309374298195,0.004998754791206977,0.9999875010111532,0.00010135090718695746,0.00021676941303719062,575.4339706307693,548.8313948242254
ell_chi,plus,1.2,terminal,13.500637842753465,13.33819871546135,6757.936426849173,-0.004607848125784201,-0.9999893786753445,0.00010135160708620353,0.000761875187682019,575.4339706307693,548.8313948242254
