horizon_id,selector_id,refinement_per_reference_interval,segment_count,piecewise_frozen_log_gain,time_ordered_reference_log_gain,absolute_log_gain_error,same_input_selector,same_output_selector,same_norm,freeze_rule
onset,full_to_full,1,23,9.683536857523476,9.683020551501777,0.0005163060216997195,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
onset,full_to_full,2,46,9.683279527377932,9.683020551501777,0.00025897587615553164,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
onset,full_to_full,4,92,9.683149672191213,9.683020551501777,0.00012912068943649047,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
onset,full_to_full,8,184,9.683085245511021,9.683020551501777,6.46940092448034e-05,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
onset,full_to_full,16,368,9.68305290113189,9.683020551501777,3.234963011422565e-05,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
onset,constitutive_to_constitutive,1,23,0.26087991801473426,0.6217170382103192,0.36083712019558495,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
onset,constitutive_to_constitutive,2,46,0.4479965292034624,0.6217170382103192,0.17372050900685682,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
onset,constitutive_to_constitutive,4,92,0.536718704047928,0.6217170382103192,0.08499833416239122,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
onset,constitutive_to_constitutive,8,184,0.5796866324573976,0.6217170382103192,0.04203040575292161,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
onset,constitutive_to_constitutive,16,368,0.6008198850806387,0.6217170382103192,0.020897153129680546,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
onset,full_to_constitutive,1,23,0.2619715326516822,0.637338309579811,0.37536677692812875,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
onset,full_to_constitutive,2,46,0.4641953937387981,0.637338309579811,0.17314291584101288,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
onset,full_to_constitutive,4,92,0.5520475367928817,0.637338309579811,0.08529077278692931,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
onset,full_to_constitutive,8,184,0.5963653726297445,0.637338309579811,0.04097293695006643,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
onset,full_to_constitutive,16,368,0.6177178959652128,0.637338309579811,0.01962041361459821,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
onset,constitutive_to_full,1,23,1.866757790920149,1.8808004965708631,0.014042705650714193,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
onset,constitutive_to_full,2,46,1.8713767236252947,1.8808004965708631,0.009423772945568398,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
onset,constitutive_to_full,4,92,1.8752245786484136,1.8808004965708631,0.0055759179224494915,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
onset,constitutive_to_full,8,184,1.8776591051063987,1.8808004965708631,0.0031413914644644603,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
onset,constitutive_to_full,16,368,1.8790219338240342,1.8808004965708631,0.001778562746828971,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
onset,mechanical_to_mechanical,1,23,9.683536800913531,9.68302049489072,0.0005163060228117189,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
onset,mechanical_to_mechanical,2,46,9.683279470766978,9.68302049489072,0.00025897587625856033,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
onset,mechanical_to_mechanical,4,92,9.683149615580236,9.68302049489072,0.00012912068951642652,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
onset,mechanical_to_mechanical,8,184,9.683085188899897,9.68302049489072,6.469400917730184e-05,True,True,True,left_endpoint_generator_in_each_subdivision_of_every_registered_nonuniform_reference_interval
