horizon_id,norm_id,selector_id,sigma_1,sigma_2,sigma_1_over_sigma_2,relative_singular_gap,degeneracy_threshold_relative_gap,near_degenerate,individual_vector_interpretation_authorized,rank_one_observable
onset,baseline,full_to_full,16042.882167015427,9695.995454995827,1.6545884578307417,0.39562010404021786,0.05,False,True,False
onset,baseline,constitutive_to_constitutive,1.8621226341580959,1.0000021970302309,1.8621185430273635,0.46297726117144133,0.05,False,True,False
onset,baseline,full_to_constitutive,1.8914397462603998,1.0000021970319046,1.8914355907160614,0.4713010557121752,0.05,False,True,False
onset,baseline,constitutive_to_full,6.55875302064664,4.598538236365466,1.426269106295496,0.29887004101397197,0.05,False,True,False
onset,baseline,mechanical_to_mechanical,16042.881258810936,9695.991129363818,1.6545891023173365,0.39562033945500485,0.05,False,True,False
onset,baseline,mechanical_to_constitutive,0.3787952012100198,9.016139858145901e-07,420130.13015518605,0.9999976197850898,0.05,False,True,False
onset,baseline,constitutive_to_temperature,0.9999622404987801,,,,0.05,,,True
onset,mechanical_x0.5,full_to_full,16042.8848916251,9696.008431880273,1.6545865243759927,0.39561939779659583,0.05,False,True,False
onset,mechanical_x0.5,constitutive_to_constitutive,1.8621226341580959,1.0000021970302309,1.8621185430273635,0.46297726117144133,0.05,False,True,False
onset,mechanical_x0.5,full_to_constitutive,1.8689984943093254,1.000002197080668,1.8689943879778868,0.46495291455533705,0.05,False,True,False
onset,mechanical_x0.5,constitutive_to_full,13.361099926143693,9.391814170643435,1.4226324843508185,0.2970777688544599,0.05,False,True,False
onset,mechanical_x0.5,mechanical_to_mechanical,16042.881258810936,9695.991129363818,1.6545891023173365,0.39562033945500485,0.05,False,True,False
onset,mechanical_x0.5,mechanical_to_constitutive,0.1893976006050099,4.5080699290729505e-07,420130.13015518605,0.9999976197850898,0.05,False,True,False
onset,mechanical_x0.5,constitutive_to_temperature,0.9999622404987801,,,,0.05,,,True
onset,thermal_x0.5,full_to_full,16042.882167015421,9695.995454995826,1.6545884578307415,0.3956201040402178,0.05,False,True,False
onset,thermal_x0.5,constitutive_to_constitutive,1.8625315567764926,1.000002197098511,1.8625274646201735,0.46309516557709896,0.05,False,True,False
onset,thermal_x0.5,full_to_constitutive,1.892602585755483,1.0000021970975062,1.8925984275321976,0.4716258951435763,0.05,False,True,False
onset,thermal_x0.5,constitutive_to_full,6.5582799456424805,4.597999470503125,1.4263333407745817,0.2989016161839546,0.05,False,True,False
onset,thermal_x0.5,mechanical_to_mechanical,16042.881258810936,9695.991129363818,1.6545891023173365,0.39562033945500485,0.05,False,True,False
onset,thermal_x0.5,mechanical_to_constitutive,0.379236618985163,1.8010789581759058e-06,210560.79594047653,0.9999952507778309,0.05,False,True,False
onset,thermal_x0.5,constitutive_to_temperature,1.0016991907858122,,,,0.05,,,True
onset,dislocation_x2,full_to_full,16042.88216701543,9695.99545499583,1.6545884578307417,0.3956201040402179,0.05,False,True,False
onset,dislocation_x2,constitutive_to_constitutive,2.9828803144298894,1.0000021970459811,2.9828737609190807,0.6647528255798929,0.05,False,True,False
onset,dislocation_x2,full_to_constitutive,3.0044439302318353,1.0000021970458683,3.004437329345214,0.667158975082386,0.05,False,True,False
onset,dislocation_x2,constitutive_to_full,6.647954112512204,4.197632848659861,1.5837388242839376,0.3685827583016195,0.05,False,True,False
onset,dislocation_x2,mechanical_to_mechanical,16042.881258810936,9695.991129363818,1.6545891023173365,0.39562033945500485,0.05,False,True,False
onset,dislocation_x2,mechanical_to_constitutive,0.3787947243309396,9.015908749049112e-07,420140.37062086526,0.999997619843105,0.05,False,True,False
onset,dislocation_x2,constitutive_to_temperature,1.0016991572563865,,,,0.05,,,True
onset,all_constitutive_x2,full_to_full,16042.8848916251,9696.008431880273,1.6545865243759927,0.39561939779659583,0.05,False,True,False
