case_id,cells,completed,context,control_role,cutoff_mode,discarded_rhs_energy_fraction,failure_message,failure_type,first_failure_mode,first_failure_stage,first_failure_state_group,first_failure_time_s,first_failure_wavenumber_m_inv,gain_relative_error,measured_nonlinear_gain,output_vector_relative_error,role,runtime_s,scheme,spectral_rule,substeps
dealias_n16_factor32_s1_midpoint_near_onset,16,True,factor32,time_density_convergence,5,7.144646860886103e-09,,,,,,,,0.02883978870283233,1.7108428772517683,0.03178495247073253,near_onset,8.962980000011157,exponential_midpoint,two_thirds_dealiased,1
dealias_n16_factor32_s1_midpoint_terminal,16,True,factor32,time_density_convergence,5,0.8304238208138256,,,,,,,,0.007850363433832613,605634.1504505441,0.007850360569828862,terminal,51.9861596999981,exponential_midpoint,two_thirds_dealiased,1
dealias_n16_factor32_s2_midpoint_near_onset,16,True,factor32,time_density_convergence,5,6.8778074972743e-11,,,,,,,,0.021560693305709602,1.7236660843479175,0.22986202612176593,near_onset,16.838624900003197,exponential_midpoint,two_thirds_dealiased,2
dealias_n16_factor32_s2_midpoint_terminal,16,True,factor32,time_density_convergence,5,0.8101122778442761,,,,,,,,0.006645007134907878,606369.9315375745,0.006645034012901498,terminal,95.47891179998987,exponential_midpoint,two_thirds_dealiased,2
dealias_n16_factor32_s4_midpoint_near_onset,16,True,factor32,time_density_convergence,5,6.44597036453376e-11,,,,,,,,0.01978406770312821,1.7267958740802003,0.23184410653798807,near_onset,32.05973670000094,exponential_midpoint,two_thirds_dealiased,4
dealias_n16_factor32_s4_midpoint_terminal,16,True,factor32,time_density_convergence,5,0.878040115973361,,,,,,,,0.006339630754874113,606556.3412863393,0.006339759414486658,terminal,185.85543609998422,exponential_midpoint,two_thirds_dealiased,4
dealias_n16_factor64_s1_lawson_near_onset,16,True,factor64,independent_integration_format,5,1.6572473055266997e-08,,,,,,,,7.779024338808132e-10,1.736530663523961,3.228541120063052e-06,near_onset,9.935737799998606,lawson_euler,two_thirds_dealiased,1
dealias_n16_factor64_s1_lawson_terminal,16,True,factor64,independent_integration_format,5,0.812741287786219,,,,,,,,0.00031963098926850305,608789.5486353923,0.0003196605013591528,terminal,56.39011840001331,lawson_euler,two_thirds_dealiased,1
dealias_n16_factor64_s1_midpoint_near_onset,16,True,factor64,grid_convergence,5,2.803781085862027e-10,,,,,,,,0.007303415742896026,1.723848059478944,0.010056828774113903,near_onset,18.34446109997225,exponential_midpoint,two_thirds_dealiased,1
dealias_n16_factor64_s1_midpoint_terminal,16,True,factor64,grid_convergence,5,0.8099605431904181,,,,,,,,0.002225969729154669,607628.6184651321,0.002225956984203417,terminal,104.80116979999002,exponential_midpoint,two_thirds_dealiased,1
dealias_n32_factor64_s1_midpoint_near_onset,32,True,factor64,grid_convergence,10,7.140577510699875e-10,,,,,,,,0.007303415754140375,1.7238480594594179,0.010056976021685834,near_onset,33.77154600000358,exponential_midpoint,two_thirds_dealiased,1
dealias_n32_factor64_s1_midpoint_terminal,32,True,factor64,grid_convergence,10,0.8466112254714118,,,,,,,,0.0022262527401451498,607628.4461159108,0.002226239342556275,terminal,188.35756720000063,exponential_midpoint,two_thirds_dealiased,1
dealias_n64_factor64_s1_midpoint_near_onset,64,True,factor64,grid_convergence,21,3.102071789260173e-09,,,,,,,,0.007303415741188492,1.7238480594819092,0.01005684014286804,near_onset,64.61692829997628,exponential_midpoint,two_thirds_dealiased,1
dealias_n64_factor64_s1_midpoint_terminal,64,True,factor64,grid_convergence,21,0.5687480359994684,,,,,,,,0.002226392193027304,607628.361191309,0.0022263794921296267,terminal,369.089570799988,exponential_midpoint,two_thirds_dealiased,1
no_nyquist_n16_factor64_s1_midpoint_near_onset,16,True,factor64,matched_discrete_state_space_control,7,1.7878313574502078e-23,,,,,,,,0.007303415743708107,1.7238480594775338,0.010056885011980841,near_onset,19.24267060001148,exponential_midpoint,all_resolvable_excluding_nyquist,1
no_nyquist_n16_factor64_s1_midpoint_terminal,16,True,factor64,matched_discrete_state_space_control,7,8.077512135036672e-11,,,,,,,,0.002225841042690142,607628.6968331556,0.002225827357685779,terminal,109.61620979997679,exponential_midpoint,all_resolvable_excluding_nyquist,1
raw_nyquist_n16_factor64_s1_midpoint_onset,16,False,factor64,negative_control_for_discrete_continuum_mismatch,8,,integrating factor Fourier conjugacy defect exceeded 1e-7,Periodic69IntegrationFailure,8,midpoint_stage,signed_slip,1.3515625e-06,574784.446456003,,,,near_onset,19.1466245999909,exponential_midpoint,raw_all_including_nyquist,1
